Pickup_Datetime,Total_amount	
2013-08-22 7,259447.01999999996
2013-02-21 7,310292.88000000012
2013-08-12 9,331131.29000000033
2013-09-07 17,337113.64000000013
2013-01-01 12,253680.75000000006
2013-01-02 9,298341.87000000023
2013-02-17 7,87454.720000000118
2013-04-09 21,437342.94000000047
2013-05-19 20,328046.61000000034
2013-12-12 2,106189.37999999989
2013-11-06 0,189883.52999999994
2013-11-14 22,487004.03000000014
2013-10-05 2,322889.77999999997
2013-05-27 0,259996.38999999978
2013-05-01 17,390584.56
2013-05-24 17,339736.79000000039
2013-04-10 19,505811.12000000087
2013-07-24 22,438335.47000000032
2013-12-20 19,468150.53000000055
2013-09-14 11,275454.89999999985
2013-05-28 18,426114.33
2013-04-22 21,400640.02000000014
2013-02-06 7,316119.48999999941
2013-01-28 14,341593.39999999967
2013-01-20 16,304300.67000000022
2013-04-16 8,386038.56999999983
2013-05-09 14,411363.7
2013-09-30 10,304747.61999999936
2013-01-11 15,351561.13000000018
2013-08-18 15,323739.10000000003
2013-07-19 9,375728.21000000025
2013-11-06 15,364602.62999999989
2013-02-04 14,321436.1399999999
2013-06-25 15,349548.77000000048
2013-11-20 10,347407.82
2013-11-25 6,171390.52999999974
2013-06-24 7,279603.53000000014
2013-03-27 12,325425.63999999996
2013-05-28 11,354387.09999999969
2013-12-10 9,346246.87000000023
2013-05-01 6,175908.03999999969
2013-07-30 11,299418.14000000019
2013-07-20 10,233311.59999999977
2013-11-05 8,361030.31999999966
2013-04-07 8,132480.69999999969
2013-07-14 17,339244.09999999951
2013-09-30 13,311970.21999999991
2013-03-25 5,90849.210000000065
2013-01-18 23,463322.10999999911
2013-02-15 0,338873.57000000007
2013-02-13 20,461164.0299999998
2013-11-09 2,327709.46000000025
2013-08-21 22,419705.6100000001
2013-03-12 20,426385.65999999957
2013-03-17 1,425109.3499999998
2013-07-20 20,324513.05999999988
2013-07-21 1,378916.49000000011
2013-01-21 21,289870.74000000011
2013-07-23 22,429513.10999999952
2013-03-09 23,517407.19999999984
2013-06-01 22,421920.35999999969
2013-01-19 6,103854.52000000014
2013-04-09 17,372267.39000000106
2013-08-29 16,297205.30999999965
2013-04-09 18,456322.47000000038
2013-11-21 19,481620.40000000061
2013-01-24 18,482582.18999999954
