date_hour,total
2014-11-17 1,77031.290000000023
2014-01-29 4,47899.840000000011
2014-12-11 5,88101.339999999953
2014-01-26 18,359345.5300000009
2014-03-01 18,438305.30000000022
2014-04-10 11,353175.56999999954
2014-08-17 8,136871.61999999991
2014-08-09 12,280308.5399999998
2014-04-05 15,352204.73999999993
2014-08-23 2,268572.7800000002
2014-05-23 22,434984.56000000023
2014-04-12 22,467664.24999999953
2014-07-18 3,101404.33999999998
2014-12-26 20,250979.73999999961
2014-10-20 1,81933.98000000001
2014-12-05 20,449488.2900000001
2014-12-07 21,310455.99999999953
2014-05-09 19,496128.8200000003
2014-04-03 14,390623.83000000013
2014-03-22 18,412328.38000000006
2014-04-27 10,293558.24999999988
2014-05-20 7,320094.48000000004
2014-07-18 9,328924.94999999972
2014-09-18 6,193977.31999999966
2014-06-09 11,332487.74000000034
2014-04-10 4,72981.580000000133
2014-09-18 22,492661.96000000014
2014-05-29 21,487915.31000000052
2014-10-01 22,433585.94999999908
2014-02-19 0,202428.87
2014-05-02 16,312574.87999999954
2014-09-15 5,110381.62999999998
2014-10-07 14,353491.93
2014-08-23 9,180071.88999999969
2014-10-26 10,269532.32999999967
2014-03-23 12,350295.49999999988
2014-12-23 14,341362.22999999992
2014-04-15 13,330073.3200000003
2014-10-21 13,319912.63999999996
2014-03-16 19,353482.72000000032
2014-02-10 8,359539.34999999963
2014-06-25 10,335116.81000000023
2014-02-26 14,348547.60999999981
2014-12-03 6,179185.52999999982
2014-03-15 17,353385.3499999998
2014-11-12 9,344272.69000000047
2014-01-20 12,288843.92999999988
2014-04-25 7,322158.42999999993
2014-05-14 10,352600.89999999997
2014-05-16 12,382090.4000000002
2014-04-07 22,372604.54000000039
2014-09-28 1,389579.08
2014-03-21 0,347740.44999999966
2014-07-07 23,254039.84999999998
2014-01-05 0,372846.15000000014
2014-07-05 20,212834.53999999995
2014-03-05 9,379410.42999999993
2014-06-19 19,474369.41000000009
2014-03-17 20,416504.87000000005
2014-10-08 0,200540.96000000002
2014-01-31 18,469742.25999999983
2014-09-29 19,402278.37000000005
2014-05-21 11,369223.00999999989
2014-10-18 15,355269.68999999971
2014-06-05 8,396111.81999999989
2014-06-11 6,199710.16999999998
2014-09-02 3,32675.440000000021
2014-04-14 15,347465.7099999995
2014-06-02 12,316419.9200000001
2014-12-06 2,292398.68999999971
2014-07-02 20,347669.33000000031
2014-12-17 20,436672.81000000052
2014-04-22 22,416898.38000000018
2014-03-02 12,343300.79000000039
2014-07-03 12,327791.0399999998
2014-01-20 6,102779.70000000006
2014-02-03 13,239171.7999999999
2014-03-29 15,376402.73999999982
2014-03-30 8,148682.02
2014-03-08 9,250007.51999999938
2014-08-17 14,318991.14000000013
